Date,CL-CO,XB-HO,XB-CL,HO-CL,NG-CL,CAP-BAP,BAP-DAE,CAP-DAE
2015-04-15,-6.299999999999997,-2.015999999999991,19.362799999999993,21.378799999999984,-44.677800000000005,-16.8525,-5.092500000000005,-21.945
2015-04-16,-6.219999999999999,-2.1965999999999894,19.019800000000004,21.216399999999993,-44.889399999999995,-17.325,-4.85604,-22.18104
2015-04-17,-6.579999999999998,-2.120999999999995,19.290800000000004,21.4118,-44.3818,-16.98354,-4.7775,-21.76104
2015-04-20,-6.050000000000004,-1.8395999999999901,18.709600000000002,20.549199999999992,-45.5856,-16.6425,-4.8825,-21.525
2015-04-21,-6.0,-2.095800000000011,18.331399999999988,20.4272,-44.64,-15.98604,-4.830000000000002,-20.81604
2015-04-22,-5.990000000000002,-1.953000000000003,18.513799999999996,20.4668,-45.0002,-16.353540000000002,-4.567500000000003,-20.921040000000005
2015-04-23,-6.339999999999996,-2.0286000000000115,19.15959999999999,21.188200000000002,-46.3318,-17.43,-4.672499999999996,-22.1025
2015-04-24,-6.540000000000006,-2.0663999999999874,19.3626,21.428999999999988,-46.3844,-17.4825,-4.663679999999999,-22.14618
2015-04-27,-6.599999999999994,-1.9278000000000048,19.41879999999999,21.346599999999995,-46.321000000000005,-17.456039999999998,-4.637219999999999,-22.093259999999997
2015-04-28,-6.530000000000008,-1.8815999999999917,19.4326,21.314199999999992,-45.958200000000005,-17.4825,-4.620000000000001,-22.1025
2015-04-29,-6.759999999999998,-2.0789999999999935,19.635799999999996,21.71479999999999,-46.236000000000004,-17.2725,-5.215139999999998,-22.48764
2015-04-30,-6.769999999999996,-2.1966000000000037,19.697599999999994,21.894199999999998,-46.4724,-16.93104,-4.76868,-21.69972
2015-05-01,-6.770000000000003,-2.083200000000005,19.859399999999987,21.94259999999999,-46.328,-16.235519999999998,-5.026980000000005,-21.262500000000003
2015-05-04,-7.159999999999997,-2.108400000000003,19.986999999999995,22.095399999999998,-46.15560000000001,-15.47406,-5.315939999999998,-20.79
2015-05-05,-7.340000000000003,-2.1839999999999975,20.345600000000005,22.529600000000002,-46.75819999999999,-15.920520000000002,-5.236979999999999,-21.1575
2015-05-06,-7.049999999999997,-2.305800000000005,20.066799999999986,22.37259999999999,-46.91440000000001,-15.36948,-5.00094,-20.37042
2015-05-07,-6.869999999999997,-2.2680000000000007,19.96,22.228,-45.1434,-14.87052,-4.6599,-19.53042
2015-05-08,-6.689999999999998,-2.3478000000000065,19.685599999999994,22.0334,-45.180200000000006,-14.52906,-4.8564599999999984,-19.38552
2015-05-11,-6.290000000000006,-2.385600000000011,19.249199999999988,21.6348,-45.5086,-14.686560000000002,-4.607399999999998,-19.29396
2015-05-12,-6.420000000000002,-2.2680000000000007,19.765600000000006,22.033600000000007,-46.394999999999996,-15.39552,-4.803540000000002,-20.199060000000003
2015-05-13,-6.659999999999997,-2.6544000000000096,19.808399999999992,22.4628,-45.9996,-15.211979999999999,-4.843440000000001,-20.055419999999998
2015-05-14,-6.75,-2.5116000000000014,20.164199999999994,22.675799999999995,-45.63380000000001,-14.84448,-5.0530199999999965,-19.897499999999997
2015-05-15,-7.220000000000006,-2.5578000000000003,20.452199999999998,23.009999999999998,-45.3096,-14.71302,-5.013960000000001,-19.72698
2015-05-18,-7.189999999999998,-2.3729999999999905,20.415800000000004,22.788799999999995,-44.7554,-14.240520000000004,-4.6069799999999965,-18.8475
2015-05-19,-6.82,-2.0790000000000077,20.063399999999994,22.142400000000002,-43.218199999999996,-13.610519999999998,-4.528020000000005,-18.138540000000003
2015-05-20,-6.559999999999995,-2.003399999999999,20.0426,22.046,-44.1824,-13.66302,-5.551560000000002,-19.21458
