Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity
2009-01-08,"CTA(9,21)",3165.2500,3426.2500,-1.0000,-1.0000,-146.0000,146.0000,-3426.2500,5567.2500,5567.2500
2009-01-09,"CTA(9,21)",3370.7500,3631.7500,-1.0000,-1.0000,205.5000,-205.5000,-3631.7500,5361.7500,5361.7500
2009-01-12,"CTA(9,21)",3211.7500,3472.7500,-1.0000,-1.0000,-159.0000,159.0000,-3472.7500,5520.7500,5520.7500
2009-01-13,"CTA(9,21)",3336.7500,3597.7500,-1.0000,-1.0000,125.0000,-125.0000,-3597.7500,5395.7500,5395.7500
2009-01-14,"CTA(9,21)",3254.0000,3515.0000,-1.0000,-1.0000,-82.7500,82.7500,-3515.0000,5478.5000,5478.5000
2009-01-15,"CTA(9,21)",3248.5000,3509.5000,-1.0000,-1.0000,-5.5000,5.5000,-3509.5000,5484.0000,5484.0000
2009-01-16,"CTA(9,21)",3323.5000,3584.5000,-1.0000,-1.0000,75.0000,-75.0000,-3584.5000,5409.0000,5409.0000
2009-01-19,"CTA(9,21)",3397.5000,3658.5000,-1.0000,-1.0000,74.0000,-74.0000,-3658.5000,5335.0000,5335.0000
2009-01-20,"CTA(9,21)",3319.5000,3581.0000,-1.0000,-1.0000,-77.5000,77.5000,-3581.0000,5412.5000,5412.5000
2009-01-21,"CTA(9,21)",3196.5000,3458.5000,-1.0000,-1.0000,-122.5000,122.5000,-3458.5000,5535.0000,5535.0000
2009-01-22,"CTA(9,21)",3064.7500,3327.0000,-1.0000,-1.0000,-131.5000,131.5000,-3327.0000,5666.5000,5666.5000
2009-01-23,"CTA(9,21)",3226.7500,3477.2500,-1.0000,-1.0000,150.2500,-150.2500,-3477.2500,5516.2500,5516.2500
2009-01-26,"CTA(9,21)",3529.0000,3779.5000,-1.0000,-1.0000,302.2500,-302.2500,-3779.5000,5214.0000,5214.0000
2009-01-27,"CTA(9,21)",3283.0000,3533.5000,-1.0000,-1.0000,-246.0000,246.0000,-3533.5000,5460.0000,5460.0000
2009-01-28,"CTA(9,21)",3302.5000,3553.0000,-1.0000,-1.0000,19.5000,-19.5000,-3553.0000,5440.5000,5440.5000
2009-01-29,"CTA(9,21)",3201.5000,3452.0000,-1.0000,-1.0000,-101.0000,101.0000,-3452.0000,5541.5000,5541.5000
2009-01-30,"CTA(9,21)",3125.7500,3376.2500,-1.0000,-1.0000,-75.7500,75.7500,-3376.2500,5617.2500,5617.2500
2009-02-02,"CTA(9,21)",3146.7500,3397.2500,-1.0000,-1.0000,21.0000,-21.0000,-3397.2500,5596.2500,5596.2500
2009-02-03,"CTA(9,21)",3344.5000,3595.0000,-1.0000,-1.0000,197.7500,-197.7500,-3595.0000,5398.5000,5398.5000
2009-02-04,"CTA(9,21)",3386.0000,3636.5000,-1.0000,-1.0000,41.5000,-41.5000,-3636.5000,5357.0000,5357.0000
2009-02-05,"CTA(9,21)",3300.2500,3550.7500,-1.0000,-1.0000,-85.7500,85.7500,-3550.7500,5442.7500,5442.7500
2009-02-06,"CTA(9,21)",3510.0000,3760.5000,-1.0000,-1.0000,209.7500,-209.7500,-3760.5000,5233.0000,5233.0000
2009-02-09,"CTA(9,21)",3547.2500,3797.7500,-1.0000,-1.0000,37.2500,-37.2500,-3797.7500,5195.7500,5195.7500
2009-02-10,"CTA(9,21)",3450.0000,3700.5000,-1.0000,-1.0000,-97.2500,97.2500,-3700.5000,5293.0000,5293.0000
2009-02-11,"CTA(9,21)",3423.2500,3673.7500,-1.0000,-1.0000,-26.7500,26.7500,-3673.7500,5319.7500,5319.7500
2009-02-12,"CTA(9,21)",3378.0000,3628.5000,-1.0000,-1.0000,-45.2500,45.2500,-3628.5000,5365.0000,5365.0000
2009-02-13,"CTA(9,21)",3392.5000,3643.0000,-1.0000,-1.0000,14.5000,-14.5000,-3643.0000,5350.5000,5350.5000
2009-02-16,"CTA(9,21)",3290.7500,3541.2500,-1.0000,-1.0000,-101.7500,101.7500,-3541.2500,5452.2500,5452.2500
2009-02-17,"CTA(9,21)",3158.7500,3409.0000,-1.0000,-1.0000,-132.2500,132.2500,-3409.0000,5584.5000,5584.5000
2009-02-18,"CTA(9,21)",3209.0000,3459.0000,-1.0000,-1.0000,50.0000,-50.0000,-3459.0000,5534.5000,5534.5000
2009-02-19,"CTA(9,21)",3265.2500,3515.0000,-1.0000,-1.0000,56.0000,-56.0000,-3515.0000,5478.5000,5478.5000
2009-02-20,"CTA(9,21)",3125.2500,3362.0000,-1.0000,-1.0000,-153.0000,153.0000,-3362.0000,5631.5000,5631.5000
2009-02-23,"CTA(9,21)",3205.7500,3442.5000,-1.0000,-1.0000,80.5000,-80.5000,-3442.5000,5551.0000,5551.0000
2009-02-24,"CTA(9,21)",3259.5000,3496.2500,-1.0000,-1.0000,53.7500,-53.7500,-3496.2500,5497.2500,5497.2500
2009-02-25,"CTA(9,21)",3385.7500,3622.5000,-1.0000,-1.0000,126.2500,-126.2500,-3622.5000,5371.0000,5371.0000
2009-02-26,"CTA(9,21)",3477.0000,3713.7500,-1.0000,-1.0000,91.2500,-91.2500,-3713.7500,5279.7500,5279.7500
2009-02-27,"CTA(9,21)",3426.5000,3663.2500,-1.0000,-1.0000,-50.5000,50.5000,-3663.2500,5330.2500,5330.2500
2009-03-02,"CTA(9,21)",3362.2500,3599.0000,-1.0000,-1.0000,-64.2500,64.2500,-3599.0000,5394.5000,5394.5000
2009-03-03,"CTA(9,21)",3520.0000,3756.7500,-1.0000,-1.0000,157.7500,-157.7500,-3756.7500,5236.7500,5236.7500
2009-03-04,"CTA(9,21)",3728.0000,3964.7500,1.0000,-1.0000,208.0000,-208.0000,-3964.7500,5028.7500,5028.7500
2009-03-05,"CTA(9,21)",3665.5000,3902.2500,1.0000,1.0000,-62.5000,-62.5000,3902.2500,4966.2500,4966.2500
2009-03-06,"CTA(9,21)",3698.2500,3935.0000,1.0000,1.0000,32.7500,32.7500,3935.0000,4999.0000,4999.0000
2009-03-09,"CTA(9,21)",3584.7500,3821.5000,1.0000,1.0000,-113.5000,-113.5000,3821.5000,4885.5000,4885.5000
2009-03-10,"CTA(9,21)",3692.2500,3929.0000,1.0000,1.0000,107.5000,107.5000,3929.0000,4993.0000,4993.0000
