Date,Strategy,F1_raw,F1_continuous,Signal,Position,F1_cont_daily_change,Daily_PnL,MTM,Cumulative_PnL,Equity,MA33,MAA48,Crossover,Position,F1_cont_daily_change,Daily PnL,MTM,Cum_PnL
1/17/2011,"MA_Crossover(33,48)",9648,9747.75,1,1,-14,-14,9747.75,9354.25,9354.25,9224.575758,8990.682292,1,1,-14,-14,9747.75,9354.25
1/18/2011,"MA_Crossover(33,48)",9727.5,9808.75,1,1,61,61,9808.75,9415.25,9415.25,9268.863636,9012.859375,1,1,61,61,9808.75,9415.25
1/19/2011,"MA_Crossover(33,48)",9596,9680.75,1,1,-128,-128,9680.75,9287.25,9287.25,9304.621212,9028.140625,1,1,-128,-128,9680.75,9287.25
1/20/2011,"MA_Crossover(33,48)",9372,9458.25,1,1,-222.5,-222.5,9458.25,9064.75,9064.75,9326.590909,9040.755208,1,1,-222.5,-222.5,9458.25,9064.75
1/21/2011,"MA_Crossover(33,48)",9462.5,9556.25,1,1,98,98,9556.25,9162.75,9162.75,9347.454545,9053.8125,1,1,98,98,9556.25,9162.75
1/24/2011,"MA_Crossover(33,48)",9548.5,9642.25,1,1,86,86,9642.25,9248.75,9248.75,9371.106061,9072.989583,1,1,86,86,9642.25,9248.75
1/25/2011,"MA_Crossover(33,48)",9265,9358.75,1,1,-283.5,-283.5,9358.75,8965.25,8965.25,9384.69697,9085.385417,1,1,-283.5,-283.5,9358.75,8965.25
1/26/2011,"MA_Crossover(33,48)",9343,9436.75,1,1,78,78,9436.75,9043.25,9043.25,9397.787879,9109.895833,1,1,78,78,9436.75,9043.25
1/27/2011,"MA_Crossover(33,48)",9455.5,9549.25,1,1,112.5,112.5,9549.25,9155.75,9155.75,9410.136364,9135.614583,1,1,112.5,112.5,9549.25,9155.75
1/28/2011,"MA_Crossover(33,48)",9548.5,9642.25,1,1,93,93,9642.25,9248.75,9248.75,9427.136364,9158.520833,1,1,93,93,9642.25,9248.75
1/31/2011,"MA_Crossover(33,48)",9770.5,9864.25,1,1,222,222,9864.25,9470.75,9470.75,9449.484848,9186.427083,1,1,222,222,9864.25,9470.75
2/1/2011,"MA_Crossover(33,48)",9973,10066.75,1,1,202.5,202.5,10066.75,9673.25,9673.25,9470.030303,9220.916667,1,1,202.5,202.5,10066.75,9673.25
2/2/2011,"MA_Crossover(33,48)",9966.5,10060.25,1,1,-6.5,-6.5,10060.25,9666.75,9666.75,9493.363636,9258.34375,1,1,-6.5,-6.5,10060.25,9666.75
2/3/2011,"MA_Crossover(33,48)",9947.5,10041.25,1,1,-19,-19,10041.25,9647.75,9647.75,9518.257576,9292.958333,1,1,-19,-19,10041.25,9647.75
2/4/2011,"MA_Crossover(33,48)",10067,10160.75,1,1,119.5,119.5,10160.75,9767.25,9767.25,9549.939394,9327.9375,1,1,119.5,119.5,10160.75,9767.25
2/7/2011,"MA_Crossover(33,48)",10056,10149.75,1,1,-11,-11,10149.75,9756.25,9756.25,9578.787879,9364.791667,1,1,-11,-11,10149.75,9756.25
2/8/2011,"MA_Crossover(33,48)",10073,10166.75,1,1,17,17,10166.75,9773.25,9773.25,9604.181818,9402.4375,1,1,17,17,10166.75,9773.25
2/9/2011,"MA_Crossover(33,48)",9934.5,10028.25,1,1,-138.5,-138.5,10028.25,9634.75,9634.75,9620.348485,9434.072917,1,1,-138.5,-138.5,10028.25,9634.75
2/10/2011,"MA_Crossover(33,48)",9950,10043.75,1,1,15.5,15.5,10043.75,9650.25,9650.25,9637.227273,9461.21875,1,1,15.5,15.5,10043.75,9650.25
2/11/2011,"MA_Crossover(33,48)",9975.5,10069.25,1,1,25.5,25.5,10069.25,9675.75,9675.75,9656.454545,9486.25,1,1,25.5,25.5,10069.25,9675.75
2/14/2011,"MA_Crossover(33,48)",10179.5,10273.25,1,1,204,204,10273.25,9879.75,9879.75,9680.439394,9515.65625,1,1,204,204,10273.25,9879.75
2/15/2011,"MA_Crossover(33,48)",10017.75,10121,1,1,-152.25,-152.25,10121,9727.5,9727.5,9697.886364,9540.682292,1,1,-152.25,-152.25,10121,9727.5
2/16/2011,"MA_Crossover(33,48)",9841,9948.25,1,1,-172.75,-172.75,9948.25,9554.75,9554.75,9707.143939,9560.057292,1,1,-172.75,-172.75,9948.25,9554.75
2/17/2011,"MA_Crossover(33,48)",9806.5,9912.25,1,1,-36,-36,9912.25,9518.75,9518.75,9712.068182,9575.859375,1,1,-36,-36,9912.25,9518.75
2/18/2011,"MA_Crossover(33,48)",9860,9966.25,1,1,54,54,9966.25,9572.75,9572.75,9719.363636,9594.036458,1,1,54,54,9966.25,9572.75
2/21/2011,"MA_Crossover(33,48)",9808,9914.25,1,1,-52,-52,9914.25,9520.75,9520.75,9726.090909,9610.182292,1,1,-52,-52,9914.25,9520.75
