S,L,sharpe,ann_return,max_drawdown,total_pnl,hit_rate,n_days
6,90,0.2442,431.3901,-7780.28,8093.7,0.5002,4728
8,91,0.2441,431.1833,-6793.16,8089.82,0.5019,4728
6,92,0.2439,430.8571,-7624.78,8083.7,0.5006,4728
14,29,0.2439,430.8134,-5073.07,8082.88,0.5034,4728
12,83,0.2436,430.338,-5324.88,8073.96,0.503,4728
14,31,0.2435,430.1919,-4704.33,8071.22,0.5036,4728
7,29,0.2435,430.1973,-5477.5,8071.32,0.504,4728
11,33,0.2429,429.0918,-5280.53,8050.58,0.5061,4728
13,28,0.2428,428.8285,-5629.31,8045.64,0.5049,4728
11,87,0.2427,428.6345,-5532.96,8042.0,0.503,4728
2,36,0.2422,427.8126,-6270.27,8026.58,0.4996,4728
14,20,0.242,427.4534,-4828.07,8019.84,0.5047,4728
10,95,0.2418,427.1496,-5237.4,8014.14,0.5032,4728
3,53,0.2417,426.9897,-6075.4,8011.14,0.5053,4728
1,36,0.2416,426.6763,-5137.69,8005.26,0.4992,4728
5,110,0.2416,426.7733,-7810.9,8007.08,0.503,4728
6,37,0.2415,426.6507,-5022.77,8004.78,0.504,4728
13,75,0.2412,426.0804,-5262.76,7994.08,0.5027,4728
8,92,0.241,425.6668,-6793.16,7986.32,0.5019,4728
6,35,0.2408,425.314,-4838.92,7979.7,0.5027,4728
2,39,0.2408,425.2862,-6051.17,7979.18,0.5,4728
11,88,0.2406,424.9238,-5532.96,7972.38,0.5032,4728
10,90,0.2399,423.6873,-5626.82,7949.18,0.5023,4728
10,78,0.2398,423.6137,-5250.0,7947.8,0.5017,4728
7,30,0.2397,423.425,-5639.5,7944.26,0.504,4728
3,42,0.2396,423.2566,-6042.51,7941.1,0.5025,4728
2,30,0.2394,422.8291,-6416.77,7933.08,0.5002,4728
10,32,0.2393,422.7151,-4747.51,7930.94,0.5044,4728
2,40,0.2391,422.2802,-6482.17,7922.78,0.5004,4728
19,24,0.2388,421.8719,-5421.87,7915.12,0.5047,4728
10,94,0.2385,421.3666,-5348.4,7905.64,0.5027,4728
7,47,0.2385,421.3058,-4991.75,7904.5,0.5044,4728
13,23,0.2383,420.9892,-4928.02,7898.56,0.5036,4728
3,29,0.2378,420.0277,-6946.33,7880.52,0.5,4728
