date,USDMXN_Mexico
2006-05-16 00:00:00,11.0399
2006-05-17 00:00:00,11.205
2006-05-18 00:00:00,11.1639
2006-05-19 00:00:00,11.1949
2006-05-22 00:00:00,11.2587
2006-05-23 00:00:00,11.3593
2006-05-24 00:00:00,11.215
2006-05-25 00:00:00,11.1363
2006-05-26 00:00:00,11.119
2006-05-29 00:00:00,11.196
2006-05-30 00:00:00,11.3043
2006-05-31 00:00:00,11.3373
2006-06-01 00:00:00,11.2395
2006-06-02 00:00:00,11.314
2006-06-05 00:00:00,11.3371
2006-06-06 00:00:00,11.3084
2006-06-07 00:00:00,11.3495
2006-06-08 00:00:00,11.4039
2006-06-09 00:00:00,11.394
2006-06-12 00:00:00,11.445
2006-06-13 00:00:00,11.4775
2006-06-14 00:00:00,11.4498
2006-06-15 00:00:00,11.3865
2006-06-16 00:00:00,11.4445
2006-06-19 00:00:00,11.4825
2006-06-20 00:00:00,11.4383
2006-06-21 00:00:00,11.3913
2006-06-22 00:00:00,11.445
2006-06-23 00:00:00,11.4083
2006-06-26 00:00:00,11.4771
2006-06-27 00:00:00,11.4338
2006-06-28 00:00:00,11.4175
2006-06-29 00:00:00,11.3119
2006-06-30 00:00:00,11.3463
2006-07-03 00:00:00,11.0928
2006-07-04 00:00:00,11.064
2006-07-05 00:00:00,11.2479
2006-07-06 00:00:00,11.0311
2006-07-07 00:00:00,11.0078
2006-07-10 00:00:00,11.0078
2006-07-11 00:00:00,10.9785
2006-07-12 00:00:00,11.0618
2006-07-13 00:00:00,11.0651
2006-07-14 00:00:00,10.9775
2006-07-17 00:00:00,10.9785
2006-07-18 00:00:00,10.9297
2006-07-19 00:00:00,10.8671
2006-07-20 00:00:00,10.8808
2006-07-21 00:00:00,10.981
2006-07-24 00:00:00,10.9025
2006-07-25 00:00:00,10.906
2006-07-26 00:00:00,10.9399
2006-07-27 00:00:00,10.9088
2006-07-28 00:00:00,10.858
2006-07-31 00:00:00,10.9656
2006-08-01 00:00:00,11.034
2006-08-02 00:00:00,10.9793
2006-08-03 00:00:00,10.9575
2006-08-04 00:00:00,10.9
2006-08-07 00:00:00,10.877
2006-08-08 00:00:00,10.8735
2006-08-09 00:00:00,10.8508
2006-08-10 00:00:00,10.8387
2006-08-11 00:00:00,10.807
2006-08-14 00:00:00,10.8613
2006-08-15 00:00:00,10.7713
2006-08-16 00:00:00,10.7725
2006-08-17 00:00:00,10.7954
2006-08-18 00:00:00,10.8135
2006-08-21 00:00:00,10.7913
2006-08-22 00:00:00,10.8421
2006-08-23 00:00:00,10.9155
2006-08-24 00:00:00,10.9378
2006-08-25 00:00:00,10.973
2006-08-28 00:00:00,10.8736
2006-08-29 00:00:00,10.8704
2006-08-30 00:00:00,10.8863
2006-08-31 00:00:00,10.9128
2006-09-01 00:00:00,10.878
2006-09-04 00:00:00,10.8583
2006-09-05 00:00:00,10.8676
2006-09-06 00:00:00,10.9838
2006-09-07 00:00:00,11.0176
2006-09-08 00:00:00,11.0025
2006-09-11 00:00:00,11.0665
2006-09-12 00:00:00,11.0045
2006-09-13 00:00:00,10.9833
2006-09-14 00:00:00,10.976
2006-09-15 00:00:00,10.9368
2006-09-18 00:00:00,10.9003
2006-09-19 00:00:00,10.9705
2006-09-20 00:00:00,10.9555
2006-09-21 00:00:00,11.0863
2006-09-22 00:00:00,11.0413
2006-09-25 00:00:00,11.0653
2006-09-26 00:00:00,11.014
2006-09-27 00:00:00,11.0402
2006-09-28 00:00:00,10.998
2006-09-29 00:00:00,10.985
2006-10-02 00:00:00,10.976
2006-10-03 00:00:00,11.0625
2006-10-04 00:00:00,11.0036
2006-10-05 00:00:00,11.0205
2006-10-06 00:00:00,11.0688
2006-10-09 00:00:00,11.0878
2006-10-10 00:00:00,11.0435
2006-10-11 00:00:00,10.9983
2006-10-12 00:00:00,10.896
2006-10-13 00:00:00,10.8518
2006-10-16 00:00:00,10.8427
2006-10-17 00:00:00,10.8485
2006-10-18 00:00:00,10.8374
2006-10-19 00:00:00,10.8119
2006-10-20 00:00:00,10.8398
2006-10-23 00:00:00,10.856
2006-10-24 00:00:00,10.799
2006-10-25 00:00:00,10.7943
2006-10-26 00:00:00,10.7218
2006-10-27 00:00:00,10.7267
2006-10-30 00:00:00,10.7934
2006-10-31 00:00:00,10.7733
2006-11-01 00:00:00,10.7723
2006-11-02 00:00:00,10.8645
2006-11-03 00:00:00,10.7895
2006-11-06 00:00:00,10.833
2006-11-07 00:00:00,10.8415
2006-11-08 00:00:00,10.8615
2006-11-09 00:00:00,10.9213
2006-11-10 00:00:00,10.9265
2006-11-13 00:00:00,10.9089
2006-11-14 00:00:00,10.8615
2006-11-15 00:00:00,10.8358
2006-11-16 00:00:00,10.8811
2006-11-17 00:00:00,10.9453
2006-11-20 00:00:00,10.9773
2006-11-21 00:00:00,10.9617
2006-11-22 00:00:00,10.9635
2006-11-23 00:00:00,10.9788
2006-11-24 00:00:00,11.0171
2006-11-27 00:00:00,11.0843
2006-11-28 00:00:00,11.0278
2006-11-29 00:00:00,11.0169
2006-11-30 00:00:00,10.9823
2006-12-01 00:00:00,11.026
2006-12-04 00:00:00,10.936
2006-12-05 00:00:00,10.8609
2006-12-06 00:00:00,10.8371
2006-12-07 00:00:00,10.8895
2006-12-08 00:00:00,10.8375
2006-12-11 00:00:00,10.8347
2006-12-12 00:00:00,10.84
2006-12-13 00:00:00,10.8402
2006-12-14 00:00:00,10.77
2006-12-15 00:00:00,10.7784
2006-12-18 00:00:00,10.8087
2006-12-19 00:00:00,10.8293
2006-12-20 00:00:00,10.8242
2006-12-21 00:00:00,10.8545
2006-12-22 00:00:00,10.867
2006-12-25 00:00:00,10.867
2006-12-26 00:00:00,10.8892
2006-12-27 00:00:00,10.9033
2006-12-28 00:00:00,10.8764
2006-12-29 00:00:00,10.8033
2007-01-01 00:00:00,10.8073
2007-01-02 00:00:00,10.7743
2007-01-03 00:00:00,10.8174
2007-01-04 00:00:00,10.8994
2007-01-05 00:00:00,10.9305
2007-01-08 00:00:00,10.944
2007-01-09 00:00:00,10.995
2007-01-10 00:00:00,10.9848
2007-01-11 00:00:00,11.015
2007-01-12 00:00:00,10.9635
2007-01-15 00:00:00,10.9585
2007-01-16 00:00:00,10.9683
2007-01-17 00:00:00,10.9487
2007-01-18 00:00:00,10.9219
2007-01-19 00:00:00,10.9016
2007-01-22 00:00:00,10.9325
2007-01-23 00:00:00,10.9468
2007-01-24 00:00:00,10.936
2007-01-25 00:00:00,11.0374
2007-01-26 00:00:00,11.0604
2007-01-29 00:00:00,11.0906
2007-01-30 00:00:00,11.0292
2007-01-31 00:00:00,11.0242
2007-02-01 00:00:00,10.9713
2007-02-02 00:00:00,10.9632
2007-02-05 00:00:00,10.9228
2007-02-06 00:00:00,10.9223
2007-02-07 00:00:00,10.9555
2007-02-08 00:00:00,10.9502
2007-02-09 00:00:00,10.9954
2007-02-12 00:00:00,11.0224
2007-02-13 00:00:00,10.9584
2007-02-14 00:00:00,10.9184
2007-02-15 00:00:00,10.9695
2007-02-16 00:00:00,10.997
2007-02-19 00:00:00,10.9688
2007-02-20 00:00:00,10.9927
2007-02-21 00:00:00,10.9888
2007-02-22 00:00:00,11.0003
2007-02-23 00:00:00,11.0373
2007-02-26 00:00:00,11.0788
2007-02-27 00:00:00,11.1729
2007-02-28 00:00:00,11.1619
2007-03-01 00:00:00,11.1515
2007-03-02 00:00:00,11.2165
2007-03-05 00:00:00,11.176
2007-03-06 00:00:00,11.1425
2007-03-07 00:00:00,11.1606
2007-03-08 00:00:00,11.1683
2007-03-09 00:00:00,11.143
2007-03-12 00:00:00,11.124
2007-03-13 00:00:00,11.1853
2007-03-14 00:00:00,11.1585
2007-03-15 00:00:00,11.1455
2007-03-16 00:00:00,11.1848
2007-03-19 00:00:00,11.1368
2007-03-20 00:00:00,11.1175
2007-03-21 00:00:00,11.0585
2007-03-22 00:00:00,11.0162
2007-03-23 00:00:00,11.018
2007-03-26 00:00:00,11.0213
2007-03-27 00:00:00,11.0565
2007-03-28 00:00:00,11.0771
2007-03-29 00:00:00,11.0278
2007-03-30 00:00:00,11.0494
2007-04-02 00:00:00,11.0211
2007-04-03 00:00:00,10.9775
2007-04-04 00:00:00,10.9975
2007-04-05 00:00:00,10.9945
2007-04-06 00:00:00,10.9725
2007-04-09 00:00:00,10.968
2007-04-10 00:00:00,10.999
2007-04-11 00:00:00,11.0083
2007-04-12 00:00:00,11.0005
2007-04-13 00:00:00,11.0013
2007-04-16 00:00:00,10.998
2007-04-17 00:00:00,10.984
2007-04-18 00:00:00,10.9933
2007-04-19 00:00:00,10.9995
2007-04-20 00:00:00,10.9838
2007-04-23 00:00:00,10.9739
2007-04-24 00:00:00,10.984
2007-04-25 00:00:00,10.929
2007-04-26 00:00:00,10.9492
