date,MOVE_BondVolatility
2016-12-25 00:00:00,72.5726
2016-12-26 00:00:00,72.5726
2016-12-27 00:00:00,70.6642
2016-12-28 00:00:00,70.7909
2016-12-29 00:00:00,71.2764
2016-12-30 00:00:00,71.6297
2016-12-31 00:00:00,71.6297
2017-01-01 00:00:00,71.6297
2017-01-02 00:00:00,71.6297
2017-01-03 00:00:00,76.7316
2017-01-04 00:00:00,76.4077
2017-01-05 00:00:00,76.5029
2017-01-06 00:00:00,75.2375
2017-01-07 00:00:00,75.2375
2017-01-08 00:00:00,75.2375
2017-01-09 00:00:00,74.8288
2017-01-10 00:00:00,73.2584
2017-01-11 00:00:00,72.8257
2017-01-12 00:00:00,73.744
2017-01-13 00:00:00,74.5005
2017-01-14 00:00:00,74.5005
2017-01-15 00:00:00,74.5005
2017-01-16 00:00:00,74.5005
2017-01-17 00:00:00,73.939
2017-01-18 00:00:00,73.9423
2017-01-19 00:00:00,78.3221
2017-01-20 00:00:00,76.7057
2017-01-21 00:00:00,76.7057
2017-01-22 00:00:00,76.7057
2017-01-23 00:00:00,75.5172
2017-01-24 00:00:00,75.5299
2017-01-25 00:00:00,77.0613
2017-01-26 00:00:00,74.6944
2017-01-27 00:00:00,72.1877
2017-01-28 00:00:00,72.1877
2017-01-29 00:00:00,72.1877
2017-01-30 00:00:00,72.3572
2017-01-31 00:00:00,72.5153
2017-02-01 00:00:00,70.8378
2017-02-02 00:00:00,69.9231
2017-02-03 00:00:00,67.3897
2017-02-04 00:00:00,67.3897
2017-02-05 00:00:00,67.3897
2017-02-06 00:00:00,67.5544
2017-02-07 00:00:00,68.07
2017-02-08 00:00:00,68.7425
2017-02-09 00:00:00,68.9453
2017-02-10 00:00:00,69.6282
2017-02-11 00:00:00,69.6282
2017-02-12 00:00:00,69.6282
2017-02-13 00:00:00,68.8286
2017-02-14 00:00:00,67.2553
2017-02-15 00:00:00,65.5141
2017-02-16 00:00:00,68.2298
2017-02-17 00:00:00,69.7839
2017-02-18 00:00:00,69.7839
2017-02-19 00:00:00,69.7839
2017-02-20 00:00:00,69.7839
2017-02-21 00:00:00,68.7218
2017-02-22 00:00:00,69.2627
2017-02-23 00:00:00,68.641
2017-02-24 00:00:00,69.8485
2017-02-25 00:00:00,69.8485
2017-02-26 00:00:00,69.8485
2017-02-27 00:00:00,70.8911
2017-02-28 00:00:00,71.2937
2017-03-01 00:00:00,70.1326
2017-03-02 00:00:00,69.539
2017-03-03 00:00:00,65.787
2017-03-04 00:00:00,65.787
2017-03-05 00:00:00,65.787
2017-03-06 00:00:00,65.4098
2017-03-07 00:00:00,66.0329
2017-03-08 00:00:00,66.6094
2017-03-09 00:00:00,69.1812
2017-03-10 00:00:00,67.7001
2017-03-11 00:00:00,67.7001
2017-03-12 00:00:00,67.7001
2017-03-13 00:00:00,65.6376
2017-03-14 00:00:00,65.182
2017-03-15 00:00:00,61.62
2017-03-16 00:00:00,60.4397
2017-03-17 00:00:00,60.7216
2017-03-18 00:00:00,60.7216
2017-03-19 00:00:00,60.7216
2017-03-20 00:00:00,59.8151
2017-03-21 00:00:00,62.1347
2017-03-22 00:00:00,64.0909
2017-03-23 00:00:00,65.2168
2017-03-24 00:00:00,64.4514
2017-03-25 00:00:00,64.4514
2017-03-26 00:00:00,64.4514
2017-03-27 00:00:00,62.6832
2017-03-28 00:00:00,61.9509
2017-03-29 00:00:00,61.0203
2017-03-30 00:00:00,60.9355
2017-03-31 00:00:00,60.6987
2017-04-01 00:00:00,60.6987
2017-04-02 00:00:00,60.6987
2017-04-03 00:00:00,61.228
2017-04-04 00:00:00,64.7657
2017-04-05 00:00:00,63.7153
2017-04-06 00:00:00,68.2529
2017-04-07 00:00:00,68.6602
2017-04-08 00:00:00,68.6602
2017-04-09 00:00:00,68.6602
2017-04-10 00:00:00,68.4973
2017-04-11 00:00:00,70.5585
2017-04-12 00:00:00,73.4226
2017-04-13 00:00:00,74.4847
2017-04-14 00:00:00,74.4847
2017-04-15 00:00:00,74.4847
2017-04-16 00:00:00,74.4847
2017-04-17 00:00:00,70.9568
2017-04-18 00:00:00,72.8666
2017-04-19 00:00:00,73.1268
2017-04-20 00:00:00,73.8561
2017-04-21 00:00:00,77.1537
2017-04-22 00:00:00,77.1537
2017-04-23 00:00:00,77.1537
2017-04-24 00:00:00,63.2709
2017-04-25 00:00:00,62.3632
2017-04-26 00:00:00,60.9543
