Tab,Version,Variant,Timing,Sharpe,Net5_Sharpe,AnnRet_pct,MaxDD_USD
Value,V1 MA Reversion 10yr,F13,Lag-1,-0.002,-0.007,-0.02,-4791.2
Value,V1 MA Reversion 1yr,F14,Same-Day,0.033,0.023,0.39,-5552.8
Value,V1 MA Reversion 1yr,F14,Lag-1,0.121,0.11,1.43,-4423.8
Value,V1 MA Reversion 3yr,F14,Same-Day,0.033,0.027,0.45,-5749.4
Value,V1 MA Reversion 3yr,F14,Lag-1,0.051,0.045,0.7,-5396.8
Value,V1 MA Reversion 5yr,F14,Same-Day,0.205,0.197,2.92,-5175.0
Value,V1 MA Reversion 5yr,F14,Lag-1,0.218,0.21,3.08,-5371.2
Value,V1 MA Reversion 7yr,F14,Same-Day,0.193,0.187,2.32,-5024.5
Value,V1 MA Reversion 7yr,F14,Lag-1,-0.057,-0.063,-0.68,-5663.5
Value,V1 MA Reversion 10yr,F14,Same-Day,0.165,0.159,1.83,-4444.2
Value,V1 MA Reversion 10yr,F14,Lag-1,0.031,0.025,0.34,-4791.2
Value,V1 MA Reversion 1yr,F15,Same-Day,0.061,0.05,0.73,-5475.8
Value,V1 MA Reversion 1yr,F15,Lag-1,0.084,0.073,0.99,-4423.8
Value,V1 MA Reversion 3yr,F15,Same-Day,0.085,0.078,1.17,-5648.9
Value,V1 MA Reversion 3yr,F15,Lag-1,0.015,0.009,0.21,-5315.8
Value,V1 MA Reversion 5yr,F15,Same-Day,0.238,0.231,3.42,-5175.0
Value,V1 MA Reversion 5yr,F15,Lag-1,0.195,0.188,2.78,-5371.2
Value,V1 MA Reversion 7yr,F15,Same-Day,0.175,0.169,2.12,-5024.5
Value,V1 MA Reversion 7yr,F15,Lag-1,-0.058,-0.064,-0.69,-5663.5
Value,V1 MA Reversion 10yr,F15,Same-Day,0.148,0.142,1.65,-4394.2
Value,V1 MA Reversion 10yr,F15,Lag-1,0.017,0.012,0.19,-4865.2
Value,V2 BG Reversal,1yr,Same-Day,-0.355,-0.363,-8.4,-15484.2
Value,V2 BG Reversal,1yr,Lag-1,-0.34,-0.349,-8.05,-15864.2
Value,V2 BG Reversal,3yr,Same-Day,0.303,0.291,5.87,-4901.0
Value,V2 BG Reversal,3yr,Lag-1,0.263,0.25,5.07,-5072.0
Value,V2 BG Reversal,5yr,Same-Day,-0.137,-0.146,-2.13,-6950.2
Value,V2 BG Reversal,5yr,Lag-1,-0.169,-0.178,-2.62,-7794.9
Value,V2 BG Reversal,7yr,Same-Day,0.157,0.15,2.02,-5999.9
Value,V2 BG Reversal,7yr,Lag-1,0.113,0.106,1.45,-5990.4
Value,V2 BG Reversal,10yr,Same-Day,0.512,0.497,5.13,-4108.4
Value,V2 BG Reversal,10yr,Lag-1,0.365,0.35,3.66,-4108.4
