date,SHFE_Copper_Stocks_kt
2012-08-29 00:00:00,-1077.0
2012-08-30 00:00:00,-126.0
2012-08-31 00:00:00,-225.0
2012-09-03 00:00:00,-398.0
2012-09-04 00:00:00,-152.0
2012-09-05 00:00:00,-898.0
2012-09-06 00:00:00,0.0
2012-09-07 00:00:00,76.0
2012-09-10 00:00:00,450.0
2012-09-11 00:00:00,1726.0
2012-09-12 00:00:00,1325.0
2012-09-13 00:00:00,6717.0
2012-09-14 00:00:00,5446.0
2012-09-17 00:00:00,19445.0
2012-09-18 00:00:00,4416.0
2012-09-19 00:00:00,-525.0
2012-09-20 00:00:00,-1820.0
2012-09-21 00:00:00,-2253.0
2012-09-24 00:00:00,-5160.0
2012-09-25 00:00:00,-2646.0
2012-09-26 00:00:00,-3170.0
2012-09-27 00:00:00,2894.0
2012-09-28 00:00:00,-100.0
2012-10-01 00:00:00,-100.0
2012-10-02 00:00:00,-100.0
2012-10-03 00:00:00,-100.0
2012-10-04 00:00:00,-100.0
2012-10-05 00:00:00,-100.0
2012-10-08 00:00:00,798.0
2012-10-09 00:00:00,427.0
2012-10-10 00:00:00,1876.0
2012-10-11 00:00:00,401.0
2012-10-12 00:00:00,3196.0
2012-10-15 00:00:00,13086.0
2012-10-16 00:00:00,7638.0
2012-10-17 00:00:00,-2825.0
2012-10-18 00:00:00,-2403.0
2012-10-19 00:00:00,-1574.0
2012-10-22 00:00:00,-1751.0
2012-10-23 00:00:00,-375.0
2012-10-24 00:00:00,-499.0
2012-10-25 00:00:00,-799.0
2012-10-26 00:00:00,-1695.0
2012-10-29 00:00:00,1275.0
2012-10-30 00:00:00,675.0
2012-10-31 00:00:00,176.0
2012-11-01 00:00:00,-275.0
2012-11-02 00:00:00,1.0
2012-11-05 00:00:00,248.0
2012-11-06 00:00:00,300.0
2012-11-07 00:00:00,250.0
2012-11-08 00:00:00,-199.0
2012-11-09 00:00:00,-502.0
2012-11-12 00:00:00,-300.0
2012-11-13 00:00:00,-1800.0
2012-11-14 00:00:00,2539.0
2012-11-15 00:00:00,-1267.0
2012-11-16 00:00:00,7987.0
2012-11-19 00:00:00,-1176.0
2012-11-20 00:00:00,-3247.0
2012-11-21 00:00:00,-5293.0
2012-11-22 00:00:00,-1975.0
2012-11-23 00:00:00,-3029.0
